DISTRITO,YEAR,MES,PERSONAS,PATRIMONIO,ARMAS,TENENCIA_DROGAS,CONSUMO_DROGAS,DETENIDOS,ACCIDENTES_CON_HERIDOS,ACCIDENTES_SIN_HERIDOS,VENTA_AMBULANTE_PROP_INTELECTUAL,VENTA_AMBULANTE_ALIMENTOS,VIA_PUBLICA_ALCOHOL_ADULTOS,VIA_PUBLICA_ALCOHOL_MENORES,LOCALES_ACTUACIONES,LOCALES_DENUNCIAS
CENTRO,2015,12,78,106,886,213,87,206,65,16,791,481,876,1,284,647
ARGANZUELA,2015,12,37,97,4,9,3,48,41,4,32,19,47,0,27,53
RETIRO,2015,12,12,15,1,7,2,28,35,6,13,15,113,0,13,23
SALAMANCA,2015,12,20,33,1,8,0,75,67,15,45,10,82,1,64,128
CHAMARTIN,2015,12,10,43,1,4,0,41,64,15,16,11,38,4,51,115
TETUAN,2015,12,19,20,0,25,6,36,52,7,45,87,96,0,48,134
CHAMBERI,2015,12,21,13,1,16,2,29,43,4,13,1,210,0,91,115
FUENCARRAL-EL PARDO,2015,12,18,23,4,5,1,37,47,7,6,14,0,0,35,45
MONCLOA-ARAVACA,2015,12,14,27,0,6,0,24,43,11,0,0,331,0,15,30
LATINA,2015,12,14,29,1,7,0,34,49,10,6,13,73,0,44,93
CARABANCHEL,2015,12,59,98,3,9,2,134,38,10,8,5,87,0,59,91
USERA,2015,12,28,61,10,15,5,63,31,6,8,22,36,1,27,57
PUENTE DE VALLECAS,2015,12,82,30,4,13,1,73,61,12,145,98,78,0,29,96
MORATALAZ,2015,12,4,19,11,0,0,8,23,2,2,3,4,1,11,19
CIUDAD LINEAL,2015,12,55,22,1,15,0,36,42,13,1,7,71,0,50,63
HORTALEZA,2015,12,18,17,8,15,12,24,15,11,8,5,1,3,10,18
VILLAVERDE,2015,12,20,35,4,7,1,45,21,6,8,6,21,1,76,86
VILLA DE VALLECAS,2015,12,8,20,1,10,27,17,18,0,6,21,65,0,56,48
VICALVARO,2015,12,8,13,1,3,4,28,13,5,0,0,39,0,32,36
SAN BLAS-CANILLEJAS,2015,12,12,49,1,4,0,49,42,5,0,2,85,0,39,77
BARAJAS,2015,12,11,15,0,5,0,30,11,4,0,0,0,0,9,13
