Distrito,Barrio,Edad,Total,Mes,Ano
CENTRO,TODOS,Total,131990,1,2015
ARGANZUELA,TODOS,Total,150884,1,2015
RETIRO,TODOS,Total,11800,1,2015
SALAMANCA,TODOS,Total,143152,1,2015
CHAMARTIN,TODOS,Total,142039,1,2015
TETUAN,TODOS,Total,151641,1,2015
CHAMBERI,TODOS,Total,137985,1,2015
FUENCARRAL-EL PARDO,TODOS,Total,233978,1,2015
MONCLOA-ARAVACA,TODOS,Total,116492,1,2015
LATINA,TODOS,Total,235093,1,2015
CARABANCHEL,TODOS,Total,241319,1,2015
USERA,TODOS,Total,133429,1,2015
PUENTE DE VALLECAS,TODOS,Total,227263,1,2015
MORATALAZ,TODOS,Total,95089,1,2015
CIUDAD LINEAL,TODOS,Total,212492,1,2015
HORTALEZA,TODOS,Total,175293,1,2015
VILLAVERDE,TODOS,Total,141279,1,2015
VILLA DE VALLECAS,TODOS,Total,100039,1,2015
VICALVARO,TODOS,Total,69614,1,2015
SAN BLAS-CANILLEJAS,TODOS,Total,153131,1,2015
BARAJAS,TODOS,Total,45870,1,2015
