Distrito,Barrio,Edad,Total,Mes,Ano
CENTRO,TODOS,Total,133133,12,2015
ARGANZUELA,TODOS,Total,151901,12,2015
RETIRO,TODOS,Total,118831,12,2015
SALAMANCA,TODOS,Total,143719,12,2015
CHAMARTIN,TODOS,Total,143069,12,2015
TETUAN,TODOS,Total,153076,12,2015
CHAMBERI,TODOS,Total,138053,12,2015
FUENCARRAL-EL PARDO,TODOS,Total,236059,12,2015
MONCLOA-ARAVACA,TODOS,Total,117035,12,2015
LATINA,TODOS,Total,234683,12,2015
CARABANCHEL,TODOS,Total,242743,12,2015
USERA,TODOS,Total,134400,12,2015
PUENTE DE VALLECAS,TODOS,Total,227852,12,2015
MORATALAZ,TODOS,Total,94875,12,2015
CIUDAD LINEAL,TODOS,Total,213048,12,2015
HORTALEZA,TODOS,Total,178130,12,2015
VILLAVERDE,TODOS,Total,141855,12,2015
VILLA DE VALLECAS,TODOS,Total,102296,12,2015
VICALVARO,TODOS,Total,69958,12,2015
SAN BLAS-CANILLEJAS,TODOS,Total,153856,12,2015
BARAJAS,TODOS,Total,46373,12,2015
